,bowler,balls,runs,wkts,innings,eco,wktspermatch
133,JD Unadkat,995,1293,60,46,130.0,130
134,JDP Oram,244,342,13,14,140.0,93
135,JDS Neesham,57,88,1,4,154.0,25
136,JE Taylor,122,152,6,5,125.0,120
137,JEC Franklin,155,216,9,15,139.0,60
138,JH Kallis,1799,2222,74,89,124.0,83
139,JJ Bumrah,1084,1364,53,47,126.0,113
140,JJ van der Wath,76,125,3,3,164.0,100
141,JM Kemp,47,51,3,5,109.0,60
142,JO Holder,228,294,8,11,129.0,73
143,JP Duminy,683,766,23,47,112.0,49
144,JP Faulkner,1287,1744,76,60,136.0,127
145,JR Hopes,369,539,14,20,146.0,70
146,JW Hastings,61,63,3,3,103.0,100
147,Jaskaran Singh,111,162,6,7,146.0,86
148,Joginder Sharma,272,402,13,15,148.0,87
149,K Goel,67,92,0,6,137.0,0
150,K Rabada,137,174,8,6,127.0,133
151,K Santokie,51,87,3,2,171.0,150
152,K Upadhyay,56,79,0,3,141.0,0
153,KA Pollard,1276,1688,67,81,132.0,83
154,KAJ Roach,52,76,0,2,146.0,0
155,KC Cariappa,211,307,8,10,145.0,80
156,KH Pandya,440,492,17,24,112.0,71
157,KJ Abbott,102,170,2,5,167.0,40
158,KK Cooper,600,725,36,25,121.0,144
159,KMDN Kulasekara,107,115,6,5,107.0,120
160,KP Appanna,222,278,11,13,125.0,85
161,KP Pietersen,180,205,9,13,114.0,69
162,KS Williamson,6,7,0,1,117.0,0
163,KV Sharma,1046,1311,54,55,125.0,98
164,KW Richardson,326,431,20,14,132.0,143
165,Kamran Khan,177,228,14,9,129.0,156
166,Karanveer Singh,213,312,14,9,146.0,156
167,Kuldeep Yadav,324,429,19,14,132.0,136
168,L Ablish,45,72,5,3,160.0,167
169,L Balaji,1574,1952,85,73,124.0,116
170,LA Carseldine,7,5,1,1,71.0,100
171,LH Ferguson,87,84,5,4,97.0,125
172,LJ Wright,75,120,2,6,160.0,33
173,LMP Simmons,18,34,1,1,189.0,100
174,LPC Silva,6,21,0,1,350.0,0
175,LR Shukla,326,429,17,27,132.0,63
176,LRPL Taylor,13,23,0,2,177.0,0
177,M Ashwin,176,234,7,10,133.0,70
178,M Kartik,1182,1341,39,55,113.0,71
179,M Manhas,42,42,0,3,100.0,0
180,M Morkel,1699,2005,88,70,118.0,126
181,M Muralitharan,1581,1642,67,66,104.0,102
182,M Ntini,213,238,8,9,112.0,89
183,M Vijay,37,48,0,4,130.0,0
184,M de Lange,116,157,6,5,135.0,120
185,MA Khote,30,51,2,2,170.0,100
186,MA Starc,612,656,39,26,107.0,150
187,MB Parmar,19,32,0,1,168.0,0
188,MC Henriques,918,1212,42,55,132.0,76
189,MF Maharoof,441,494,33,20,112.0,165
190,MG Johnson,1168,1424,64,48,122.0,133
191,MG Neser,25,61,0,1,244.0,0
192,MJ Clarke,66,67,3,5,102.0,60
193,MJ Henry,31,70,2,2,226.0,100
194,MJ McClenaghan,982,1273,56,40,130.0,140
195,MK Tiwary,38,71,1,5,187.0,20
196,MM Patel,1382,1670,82,63,121.0,130
197,MM Sharma,1566,2043,91,75,130.0,121
198,MN Samuels,219,278,10,11,127.0,91
199,MP Stoinis,209,295,11,12,141.0,92
200,MR Marsh,327,402,20,18,123.0,111
201,MS Gony,925,1250,39,44,135.0,89
202,Mashrafe Mortaza,28,54,1,1,193.0,100
203,Mohammad Asif,199,289,9,8,145.0,112
204,Mohammad Hafeez,63,61,2,4,97.0,50
205,Mohammad Nabi,66,58,2,3,88.0,67
206,Mohammed Shami,659,884,27,31,134.0,87
207,Mohammed Siraj,141,209,10,6,148.0,167
208,Mustafizur Rahman,393,444,19,17,113.0,112
209,N Rana,6,3,0,1,50.0,0
210,NB Singh,25,14,1,2,56.0,50
211,ND Doshi,57,78,2,4,137.0,50
212,NJ Rimmington,18,19,0,1,106.0,0
213,NL McCullum,30,34,0,2,113.0,0
214,NLTC Perera,715,998,37,36,140.0,103
215,NM Coulter-Nile,586,696,39,25,119.0,156
216,P Amarnath,132,236,7,6,179.0,117
217,P Awana,774,1000,43,33,129.0,130
218,P Kumar,2637,3106,102,119,118.0,86
219,P Negi,639,774,34,36,121.0,94
220,P Parameswaran,159,219,9,8,138.0,112
221,P Prasanth,6,18,0,1,300.0,0
222,P Sahu,107,144,3,5,135.0,60
223,P Suyal,107,140,2,5,131.0,40
224,PC Valthaty,153,199,7,10,130.0,70
225,PD Collingwood,90,100,5,6,111.0,83
226,PJ Cummins,379,477,19,16,126.0,119
227,PJ Sangwan,837,1100,41,38,131.0,108
228,PM Sarvesh Kumar,31,41,1,2,132.0,50
229,PP Chawla,2594,3198,133,128,123.0,104
230,PP Ojha,1945,2261,99,90,116.0,110
231,PV Tambe,674,834,28,33,124.0,85
232,Pankaj Singh,311,453,11,17,146.0,65
233,Parvez Rasool,200,268,4,11,134.0,36
234,R Ashwin,2359,2409,110,108,102.0,102
235,R Bhatia,1661,1986,82,91,120.0,90
236,R Dhawan,513,606,20,25,118.0,80
237,R McLaren,372,520,14,18,140.0,78
238,R Ninan,36,65,3,2,181.0,150
239,R Rampaul,278,299,17,12,108.0,142
240,R Sathish,144,227,6,14,158.0,43
241,R Sharma,935,1079,42,44,115.0,95
242,R Shukla,130,198,7,7,152.0,100
243,R Tewatia,128,137,8,7,107.0,114
244,R Vinay Kumar,2161,2862,125,102,132.0,123
245,RA Jadeja,1962,2457,89,112,125.0,79
246,RA Shaikh,6,11,0,1,183.0,0
247,RA Tripathi,6,12,0,1,200.0,0
248,RD Chahar,46,54,2,2,117.0,100
249,RE van der Merwe,455,486,25,21,107.0,119
250,RG More,37,57,1,2,154.0,50
251,RG Sharma,342,425,16,30,124.0,53
252,RJ Harris,865,998,47,37,115.0,127
253,RJ Peterson,48,70,3,4,146.0,75
254,RN ten Doeschate,83,88,3,10,106.0,30
255,RP Singh,1874,2236,100,82,119.0,122
256,RR Bhatkal,12,35,0,1,292.0,0
257,RR Bose,12,24,0,1,200.0,0
258,RR Powar,443,501,15,26,113.0,58
259,RR Raje,144,200,7,10,139.0,70
260,RS Bopara,213,276,13,14,130.0,93
261,RS Gavaskar,6,8,0,1,133.0,0
262,RV Gomez,97,128,6,9,132.0,67
263,RW Price,18,33,0,1,183.0,0
264,Rashid Khan,328,352,18,14,107.0,129
265,S Aravind,788,1007,48,38,128.0,126
266,S Badree,263,309,11,12,117.0,92
267,S Dhawan,49,65,4,6,133.0,67
268,S Gopal,116,153,7,6,132.0,117
269,S Kaul,436,579,23,21,133.0,110
270,S Kaushik,210,291,6,10,139.0,60
271,S Ladda,141,221,5,9,157.0,56
272,S Nadeem,1137,1295,39,53,114.0,74
273,S Narwal,113,195,6,6,173.0,100
274,S Rana,16,18,0,3,112.0,0
275,S Randiv,180,217,8,8,121.0,100
276,S Sreesanth,947,1112,43,44,117.0,98
277,S Sriram,18,49,0,2,272.0,0
278,S Tyagi,220,284,6,14,129.0,43
279,S Vidyut,13,21,1,1,162.0,100
280,SA Abbott,32,55,0,2,172.0,0
281,SA Yadav,6,8,0,1,133.0,0
282,SB Bangar,153,212,6,9,139.0,67
283,SB Jakati,1101,1422,50,57,129.0,88
284,SB Joshi,55,82,1,4,149.0,25
285,SB Styris,222,270,9,11,122.0,82
286,SB Wagh,108,131,5,8,121.0,62
287,SC Ganguly,280,359,12,20,128.0,60
288,SD Chitnis,38,54,2,2,142.0,100
289,SE Bond,191,218,9,8,114.0,112
290,SJ Srivastava,306,409,15,14,134.0,107
291,SK Raina,924,1090,30,68,118.0,44
292,SK Trivedi,1557,1840,73,75,118.0,97
293,SK Warne,1223,1408,60,54,115.0,111
