,USER_ID,AVG_PERC,MAX_PERC,TOP3_AVG,NMOCKS,ATT,OK,ACC,AVG_ATT
146,1255921,31.12953644,36.85161104,33.14,4,171,100,58.48,42.75
148,1257172,56.21774112,91.07336465,88.63,15,863,494,57.24,57.53333333
149,1257748,49.57189124,68.1643748,57.3,5,275,172,62.55,55
150,1260056,46.74678532,57.82897588,51.99,5,245,140,57.14,49
151,1261436,33.60410875,53.41103341,51.55,11,568,284,50,51.63636364
153,1262738,54.35834044,83.9231547,70.76,9,506,299,59.09,56.22222222
154,1263249,65.67280219,90.35580524,80.19,7,451,270,59.87,64.42857143
156,1267653,59.8725463,70.76797386,69,13,641,435,67.86,49.30769231
157,1267964,93.62245886,99.45492662,98.96,11,870,584,67.13,79.09090909
158,1268920,45.45452667,63.248557,60.86,8,354,225,63.56,44.25
159,1269311,39.81298183,55.86119023,53.83,5,232,127,54.74,46.4
