,USER_ID,AVG_PERC,MAX_PERC,TOP3_AVG,NMOCKS,ATT,OK,ACC,AVG_ATT
378,1786520,74.48185355,99.325748,90.12,14,816,555,68.01,58.28571429
380,1786815,84.57424469,99.37839938,94.78,8,536,369,68.84,67
381,1787645,69.64100842,89.83354404,79.94,6,383,242,63.19,63.83333333
384,1791420,66.09176459,89.02166317,84.04,14,942,548,58.17,67.28571429
385,1792221,73.57010952,93.33188846,92.12,13,658,502,76.29,50.61538462
386,1794458,63.12526867,88.87085137,84.57,14,921,530,57.55,65.78571429
387,1794802,76.72340702,89.56699346,84.27,14,810,568,70.12,57.85714286
388,1796018,97.71216839,99.63859776,99.55,12,972,686,70.58,81
389,1796087,32.38652279,59.05938448,46.64,10,487,258,52.98,48.7
390,1796107,91.6924678,97.67156863,96.23,7,476,342,71.85,68
391,1796113,72.95854888,90.75010535,88.89,11,690,447,64.78,62.72727273
392,1796126,27.81576724,62.11219336,41.55,7,354,178,50.28,50.57142857
393,1796759,91.96116377,98.62488008,96.8,11,839,559,66.63,76.27272727
394,1796909,83.47608124,94.24242424,90.74,12,663,513,77.38,55.25
395,1797980,36.33309053,49.20745921,45.92,8,384,217,56.51,48
396,1799261,51.15887535,75.38980194,67.38,10,510,320,62.75,51
398,1799857,53.2016725,73.64086984,66.53,8,476,277,58.19,59.5
400,1800713,90.29251224,97.3217141,96.7,8,519,391,75.34,64.875
402,1802156,57.17137902,80.64542484,72.83,11,517,364,70.41,47
403,1805467,88.93529327,98.53632093,97.19,10,685,486,70.95,68.5
405,1805676,73.18811611,94.78715729,90.02,14,823,554,67.31,58.78571429
407,1808144,61.0103432,84.78543563,82.36,13,852,481,56.46,65.53846154
408,1808875,46.99601456,66.70518561,56.84,6,344,178,51.74,57.33333333
409,1809325,62.78576197,80.80808081,76.57,14,1013,522,51.53,72.35714286
410,1810994,71.14961629,87.19838174,84.46,10,616,397,64.45,61.6
411,1812198,66.63618627,89.76654941,87.52,9,496,347,69.96,55.11111111
412,1813290,95.50820604,99.46971059,99.06,12,800,631,78.88,66.66666667
413,1813741,54.26505562,72.31658836,65.08,5,322,184,57.14,64.4
414,1814006,50.81098916,76.38010957,73.25,15,864,483,55.9,57.6
415,1814217,52.25868406,86.9047619,69.17,9,423,289,68.32,47
416,1814232,61.6972653,73.71044647,69.96,7,438,262,59.82,62.57142857
418,1818748,97.48833574,99.25746444,99.17,7,546,401,73.44,78
419,1819636,83.75791868,90.55735931,90.34,9,525,377,71.81,58.33333333
420,1820047,90.25247717,98.62484271,96.87,8,560,399,71.25,70
421,1821973,55.32408664,73.94129979,68.58,10,479,334,69.73,47.9
422,1822398,76.50427634,99.48721652,98.11,15,786,614,78.12,52.4
423,1822491,16.36721425,24.21355384,22.41,5,192,105,54.69,38.4
425,1824877,94.67312855,99.38672439,99.21,11,782,578,73.91,71.09090909
426,1824935,59.51401962,78.93119472,74.38,9,463,310,66.95,51.44444444
427,1827231,47.38750666,64.8372227,63.43,8,454,250,55.07,56.75
