bowler,balls,runs,wkts,innings,eco,wktspermatch
KP Appanna,222,278,11,13,125,85
KP Pietersen,180,205,9,13,114,69
KS Williamson,6,7,0,1,117,0
KV Sharma,1046,1311,54,55,125,98
KW Richardson,326,431,20,14,132,143
Kamran Khan,177,228,14,9,129,156
Karanveer Singh,213,312,14,9,146,156
Kuldeep Yadav,324,429,19,14,132,136
L Ablish,45,72,5,3,160,167
L Balaji,1574,1952,85,73,124,116
LA Carseldine,7,5,1,1,71,100
LH Ferguson,87,84,5,4,97,125
LJ Wright,75,120,2,6,160,33
LMP Simmons,18,34,1,1,189,100
LPC Silva,6,21,0,1,350,0
LR Shukla,326,429,17,27,132,63
LRPL Taylor,13,23,0,2,177,0
M Ashwin,176,234,7,10,133,70
M Kartik,1182,1341,39,55,113,71
M Manhas,42,42,0,3,100,0
M Morkel,1699,2005,88,70,118,126
M Muralitharan,1581,1642,67,66,104,102
M Ntini,213,238,8,9,112,89
M Vijay,37,48,0,4,130,0
M de Lange,116,157,6,5,135,120
MA Khote,30,51,2,2,170,100
MA Starc,612,656,39,26,107,150
MB Parmar,19,32,0,1,168,0
MC Henriques,918,1212,42,55,132,76
MF Maharoof,441,494,33,20,112,165
MG Johnson,1168,1424,64,48,122,133
MG Neser,25,61,0,1,244,0
MJ Clarke,66,67,3,5,102,60
MJ Henry,31,70,2,2,226,100
MJ McClenaghan,982,1273,56,40,130,140
MK Tiwary,38,71,1,5,187,20
MM Patel,1382,1670,82,63,121,130
MM Sharma,1566,2043,91,75,130,121
MN Samuels,219,278,10,11,127,91
MP Stoinis,209,295,11,12,141,92
MR Marsh,327,402,20,18,123,111
MS Gony,925,1250,39,44,135,89
Mashrafe Mortaza,28,54,1,1,193,100
Mohammad Asif,199,289,9,8,145,112
Mohammad Hafeez,63,61,2,4,97,50
Mohammad Nabi,66,58,2,3,88,67
Mohammed Shami,659,884,27,31,134,87
Mohammed Siraj,141,209,10,6,148,167
Mustafizur Rahman,393,444,19,17,113,112
N Rana,6,3,0,1,50,0
NB Singh,25,14,1,2,56,50
ND Doshi,57,78,2,4,137,50
NJ Rimmington,18,19,0,1,106,0
NL McCullum,30,34,0,2,113,0
NLTC Perera,715,998,37,36,140,103
NM Coulter-Nile,586,696,39,25,119,156
P Amarnath,132,236,7,6,179,117
P Awana,774,1000,43,33,129,130
P Kumar,2637,3106,102,119,118,86
P Negi,639,774,34,36,121,94
P Parameswaran,159,219,9,8,138,112
P Prasanth,6,18,0,1,300,0
P Sahu,107,144,3,5,135,60
P Suyal,107,140,2,5,131,40
PC Valthaty,153,199,7,10,130,70
PD Collingwood,90,100,5,6,111,83
PJ Cummins,379,477,19,16,126,119
PJ Sangwan,837,1100,41,38,131,108
PM Sarvesh Kumar,31,41,1,2,132,50
PP Chawla,2594,3198,133,128,123,104
PP Ojha,1945,2261,99,90,116,110
PV Tambe,674,834,28,33,124,85
Pankaj Singh,311,453,11,17,146,65
Parvez Rasool,200,268,4,11,134,36
R Ashwin,2359,2409,110,108,102,102
R Bhatia,1661,1986,82,91,120,90
R Dhawan,513,606,20,25,118,80
R McLaren,372,520,14,18,140,78
R Ninan,36,65,3,2,181,150
R Rampaul,278,299,17,12,108,142
R Sathish,144,227,6,14,158,43
R Sharma,935,1079,42,44,115,95
R Shukla,130,198,7,7,152,100
R Tewatia,128,137,8,7,107,114
R Vinay Kumar,2161,2862,125,102,132,123
RA Jadeja,1962,2457,89,112,125,79
RA Shaikh,6,11,0,1,183,0
RA Tripathi,6,12,0,1,200,0
RD Chahar,46,54,2,2,117,100
RE van der Merwe,455,486,25,21,107,119
RG More,37,57,1,2,154,50
RG Sharma,342,425,16,30,124,53
RJ Harris,865,998,47,37,115,127
RJ Peterson,48,70,3,4,146,75
RN ten Doeschate,83,88,3,10,106,30
RP Singh,1874,2236,100,82,119,122
RR Bhatkal,12,35,0,1,292,0
RR Bose,12,24,0,1,200,0
RR Powar,443,501,15,26,113,58
RR Raje,144,200,7,10,139,70
RS Bopara,213,276,13,14,130,93
RS Gavaskar,6,8,0,1,133,0
RV Gomez,97,128,6,9,132,67
RW Price,18,33,0,1,183,0
Rashid Khan,328,352,18,14,107,129
S Aravind,788,1007,48,38,128,126
S Badree,263,309,11,12,117,92
S Dhawan,49,65,4,6,133,67
S Gopal,116,153,7,6,132,117
S Kaul,436,579,23,21,133,110
S Kaushik,210,291,6,10,139,60
S Ladda,141,221,5,9,157,56
S Nadeem,1137,1295,39,53,114,74
S Narwal,113,195,6,6,173,100
S Rana,16,18,0,3,112,0
S Randiv,180,217,8,8,121,100
S Sreesanth,947,1112,43,44,117,98
S Sriram,18,49,0,2,272,0
S Tyagi,220,284,6,14,129,43
S Vidyut,13,21,1,1,162,100
SA Abbott,32,55,0,2,172,0
SA Yadav,6,8,0,1,133,0
SB Bangar,153,212,6,9,139,67
SB Jakati,1101,1422,50,57,129,88
SB Joshi,55,82,1,4,149,25
SB Styris,222,270,9,11,122,82
SB Wagh,108,131,5,8,121,62
SC Ganguly,280,359,12,20,128,60
SD Chitnis,38,54,2,2,142,100
SE Bond,191,218,9,8,114,112
SJ Srivastava,306,409,15,14,134,107
SK Raina,924,1090,30,68,118,44
SK Trivedi,1557,1840,73,75,118,97
SK Warne,1223,1408,60,54,115,111
SL Malinga,2694,2766,170,110,103,155
SM Boland,43,53,3,2,123,150
SM Harwood,67,61,3,3,91,100
SM Pollock,280,297,13,13,106,100
SMSM Senanayake,195,206,9,8,106,112
SN Thakur,259,337,14,13,130,108
SP Narine,1956,1999,109,81,102,135
SPD Smith,2,5,0,1,250,0
SR Tendulkar,37,57,0,4,154,0
SR Watson,1961,2328,100,94,119,106
SS Agarwal,24,42,1,1,175,100
SS Mundhe,7,5,1,1,71,100
SS Sarkar,25,34,1,2,136,50
ST Jayasuriya,301,375,16,21,125,76
STR Binny,554,667,27,57,120,47
SW Tait,534,557,26,21,104,124
Sachin Baby,10,8,3,2,80,150
Sandeep Sharma,1273,1539,76,56,121,136
Shahid Afridi,185,220,9,10,119,90
Shakib Al Hasan,947,1072,48,42,113,114
Shivam Sharma,114,165,4,5,145,80
Shoaib Ahmed,103,151,5,7,147,71
Shoaib Akhtar,46,50,5,3,109,167
Shoaib Malik,58,77,2,5,133,40
Sohail Tanvir,265,246,24,11,93,218
Sunny Gupta,19,45,0,1,237,0
Swapnil Singh,61,89,1,5,146,20
T Henderson,36,40,1,2,111,50
T Natarajan,82,109,2,6,133,33
T Shamsi,96,147,3,4,153,75
T Thushara,144,152,10,6,106,167
TA Boult,355,470,16,14,132,114
TG Southee,691,883,25,29,128,86
TL Suman,152,195,7,11,128,64
TM Dilshan,275,361,5,25,131,20
TM Head,48,81,3,5,169,60
TP Sudhindra,74,132,1,3,178,33
TS Mills,111,144,5,5,130,100
Tejas Baroka,21,33,0,1,157,0
UT Yadav,2033,2616,107,93,129,115
Umar Gul,153,166,14,6,108,233
V Kohli,264,354,5,26,134,19
V Pratap Singh,211,289,12,9,137,133
V Sehwag,138,233,6,15,169,40
V Shankar,6,19,0,1,317,0
VR Aaron,904,1151,40,40,127,100
VRV Singh,371,531,16,18,143,89
VS Malik,212,254,6,13,120,46
VS Yeligati,32,53,0,2,166,0
VY Mahesh,359,478,22,17,133,129
WA Mota,75,94,4,7,125,57
WD Parnell,601,651,31,26,108,119
WPUJC Vaas,288,345,22,13,120,169
Washington Sundar,182,183,9,10,101,90
Y Gnaneswara Rao,6,7,0,1,117,0
Y Nagar,72,117,4,8,162,50
Y Venugopal Rao,222,329,7,20,148,35
YA Abdulla,222,294,15,11,132,136
YK Pathan,1166,1350,45,80,116,56
YS Chahal,1219,1532,72,55,126,131
Yuvraj Singh,869,1042,39,71,120,55
Z Khan,2276,2691,119,99,118,120
